epoch,train_loss,val_mae,val_rmse,val_corr,mean_pred,mean_target,epoch_seconds,lr
1,3.7725952665441285,3.3457817800386906,5.8322478492724255,0.8069673180580139,4.010573863983154,6.226674556732178,37.31325680000009,9.755282581475769e-05
2,3.1195801228351443,3.134283585734279,5.622823796624215,0.8196077346801758,5.5036797523498535,6.226674556732178,35.2343824999989,9.045084971874737e-05
3,2.7903824137766984,2.914809278766418,5.0894596576200435,0.8432729840278625,4.512253284454346,6.226674556732178,35.07732130002114,7.938926261462366e-05
4,2.5740009365052385,2.934295708712719,5.153085404376368,0.8336341977119446,4.569340229034424,6.226674556732178,34.700765399989905,6.545084971874737e-05
5,2.3628519216151926,2.658385728719864,4.5830589245967115,0.8639909029006958,5.160872936248779,6.226674556732178,34.45765470000333,4.9999999999999996e-05
6,2.2990530920852446,2.77545653073257,4.8663336293460935,0.8626071810722351,4.429576396942139,6.226674556732178,34.32188609999139,3.454915028125263e-05
7,2.1326259088603896,2.6268425751695044,4.5095475213954215,0.8667460680007935,5.276708126068115,6.226674556732178,34.50062619999517,2.0610737385376345e-05
8,2.048314973666204,2.745113339403383,4.8255902323265705,0.8610885739326477,4.520364284515381,6.226674556732178,34.621553000004496,9.549150281252631e-06
9,2.0297814649511796,2.658080050487776,4.629613496313403,0.8635852336883545,5.002969264984131,6.226674556732178,34.47097049999866,2.447174185242323e-06
10,1.9646041999271027,2.655149331119475,4.658550141584041,0.8653140068054199,4.8300981521606445,6.226674556732178,34.316629099979764,0.0
