epoch,train_loss,val_mae,val_rmse,val_corr,mean_pred,mean_target,epoch_seconds,lr
1,4.1711652907819845,3.176136296929726,5.50330225599694,0.7993576526641846,5.417756080627441,6.226674556732178,112.64982349999991,9.755282581475769e-05
2,2.8252467891397677,2.760439718120947,4.821779093489048,0.8456576466560364,5.13885498046875,6.226674556732178,111.57978580000054,9.045084971874737e-05
3,2.5834131168063514,2.7925387533981176,4.771012035681618,0.8526911735534668,5.068632125854492,6.226674556732178,111.67968829999882,7.938926261462366e-05
4,2.569282098129016,2.747778434812444,5.042410109019796,0.8323225378990173,4.845695972442627,6.226674556732178,111.80442240000048,6.545084971874737e-05
5,2.49174849874019,2.8890906431900834,5.233671603466895,0.8463320732116699,4.452533721923828,6.226674556732178,112.72960349999994,4.9999999999999996e-05
6,2.3369995141567914,2.5142166424990786,4.600547401423607,0.8654192686080933,4.933931827545166,6.226674556732178,111.6795381999982,3.454915028125263e-05
7,2.1500863873328298,2.5969038911893088,4.763378694077205,0.854005753993988,4.915722846984863,6.226674556732178,112.28893230000176,2.0610737385376345e-05
8,2.1586923319277718,2.498519830080932,4.502043584663734,0.8662949800491333,5.315703868865967,6.226674556732178,111.75031450000097,9.549150281252631e-06
9,1.9671506895394906,2.5442452848045614,4.642336484809568,0.8637619018554688,4.970254898071289,6.226674556732178,111.7689449999998,2.447174185242323e-06
10,1.9712550116587366,2.486272170127999,4.461189468970676,0.8685123324394226,5.365059852600098,6.226674556732178,111.76584940000248,0.0
